68,Machamp,Fighting,NULL,90,130,80,65,85,55,505,Guts,No Guard*,Steadfast
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,300,Chlorophyll,NULL,Gluttony
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,390,Chlorophyll,NULL,Gluttony
71,Victreebel,Grass,Poison,80,105,65,100,70,70,490,Chlorophyll,NULL,Gluttony
72,Tentacool,Water,Poison,40,40,35,50,100,70,335,Clear Body,Liquid Ooze,Rain Dish
73,Tentacruel,Water,Poison,80,70,65,80,120,100,515,Clear Body,Liquid Ooze,Rain Dish
74,Geodude,Rock,Ground,40,80,100,30,30,20,300,Rock Head,Sturdy,Sand Veil
74,Geodude-Alolan,Rock,Electric,40,80,100,30,30,20,300,Magnet Pull,Sturdy,Galvanize
75,Graveler,Rock,Ground,55,95,115,45,45,35,390,Rock Head,Sturdy,Sand Veil
75,Graveler-Alolan,Rock,Electric,55,95,115,45,45,35,390,Magnet Pull,Sturdy,Galvanize
76,Golem,Rock,Ground,80,120,130,55,65,45,495,Rock Head,Sturdy,Sand Veil
76,Golem-Alolan,Rock,Electric,80,120,130,55,65,45,495,Magnet Pull,Sturdy,Galvanize
77,Ponyta,Fire,NULL,50,85,55,65,65,90,410,Run Away,Flash Fire,Flame Body
77,Ponyta-Galar,Psychic,NULL,50,85,55,65,65,90,410,Run Away,Pastel Veil,Anticipation
78,Rapidash,Fire,NULL,65,100,70,80,80,105,500,Run Away,Flash Fire,Flame Body
78,Rapidash-Galar,Psychic,Fairy,65,100,70,80,80,105,500,Run Away,Pastel Veil,Anticipation
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,315,Oblivious,Own Tempo,Regenerator
79,Slowpoke-Galar,Psychic,NULL,90,65,65,40,40,15,315,Gluttony,Own Tempo,Regenerator
80,Slowbro,Water,Psychic,95,75,110,100,80,30,490,Oblivious,Own Tempo,Regenerator
80,Slowbro-Galar,Poison,Psychic,95,100,95,100,70,30,490,Quick Draw,Own Tempo,Regenerator
81,Magnemite,Electric,Steel,25,35,70,95,55,45,325,Magnet Pull,Sturdy,Analytic
82,Magneton,Electric,Steel,50,60,95,120,70,70,465,Magnet Pull,Sturdy,Analytic
83,Farfetch'd,Normal,Flying,52,90,55,58,62,60,377,Keen Eye,Inner Focus,Defiant
83,Farfetch'd-Galar,Fighting,NULL,52,95,55,58,62,55,377,Steadfast,NULL,Scrappy
84,Doduo,Normal,Flying,35,85,45,35,35,75,310,Run Away,Early Bird,Tangled Feet
85,Dodrio,Normal,Flying,60,110,70,60,60,110,470,Run Away,Early Bird,Tangled Feet
86,Seel,Water,NULL,65,45,55,45,70,45,325,Thick Fat,Hydration*,Ice Body
87,Dewgong,Water,Ice,90,70,80,70,95,70,475,Thick Fat,Hydration*,Ice Body
88,Grimer,Poison,NULL,80,80,50,40,50,25,325,Stench,Sticky Hold,Poison Touch
88,Grimer-Alolan,Poison,Dark,80,80,50,40,50,25,325,Poison Touch,Gluttony,Power of Alchemy
89,Muk,Poison,NULL,105,105,75,65,100,50,500,Stench,Sticky Hold,Poison Touch
89,Muk-Alolan,Poison,Dark,105,105,75,65,100,50,500,Poison Touch,Gluttony,Power of Alchemy
90,Shellder,Water,NULL,30,65,100,45,25,40,305,Shell Armor,Skill Link*,Overcoat
91,Cloyster,Water,Ice,50,95,180,85,45,70,525,Shell Armor,Skill Link*,Overcoat
92,Gastly,Ghost,Poison,30,35,30,100,35,80,310,Levitate,NULL,NULL
93,Haunter,Ghost,Poison,45,50,45,115,55,95,405,Levitate,NULL,NULL
94,Gengar,Ghost,Poison,60,65,60,130,75,110,500,Cursed Body,NULL,NULL
95,Onix,Rock,Ground,35,45,160,30,45,70,385,Rock Head,Sturdy,Weak Armor
96,Drowzee,Psychic,NULL,60,48,45,43,90,42,328,Insomnia,Forewarn*,Inner Focus
97,Hypno,Psychic,NULL,85,73,70,73,115,67,483,Insomnia,Forewarn*,Inner Focus
98,Krabby,Water,NULL,30,105,90,25,25,50,325,Hyper Cutter,Shell Armor,Sheer Force
99,Kingler,Water,NULL,55,130,115,50,50,75,475,Hyper Cutter,Shell Armor,Sheer Force
100,Voltorb,Electric,NULL,40,30,50,55,55,100,330,Soundproof,Static,Aftermath
101,Electrode,Electric,NULL,60,50,70,80,80,150,490,Soundproof,Static,Aftermath
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,325,Chlorophyll,NULL,Harvest
103,Exeggutor,Grass,Psychic,95,95,85,125,75,55,530,Chlorophyll,NULL,Harvest
103,Exeggutor-Alolan,Grass,Dragon,95,105,85,125,75,45,530,Frisk,NULL,Harvest
104,Cubone,Ground,NULL,50,50,95,40,50,35,320,Rock Head,Lightning Rod,Battle Armor
105,Marowak,Ground,NULL,60,80,110,50,80,45,425,Rock Head,Lightning Rod,Battle Armor
105,Marowak-Alolan,Fire,Ghost,60,80,110,50,80,45,425,Cursed Body,Lightning Rod,Rock Head
106,Hitmonlee,Fighting,NULL,50,120,53,35,110,87,455,Limber,Reckless*,Unburden
107,Hitmonchan,Fighting,NULL,50,105,79,35,110,76,455,Keen Eye,Iron Fist*,Inner Focus
108,Lickitung,Normal,NULL,90,55,75,60,75,30,385,Own Tempo,Oblivious,Cloud Nine
109,Koffing,Poison,NULL,40,65,95,60,45,35,340,Levitate,Neutralizing Gas*,Stench*
110,Weezing,Poison,NULL,65,90,120,85,70,60,490,Levitate,Neutralizing Gas*,Stench*
110,Weezing-Galar,Poison,Fairy,65,90,120,85,70,60,490,Levitate,Neutralizing Gas,Misty Surge
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,345,Lightning Rod,Rock Head,Reckless
112,Rhydon,Ground,Rock,105,130,120,45,45,40,485,Lightning Rod,Rock Head,Reckless
113,Chansey,Normal,NULL,250,5,5,35,105,50,450,Natural Cure,Serene Grace,Healer
114,Tangela,Grass,NULL,65,55,115,100,40,60,435,Chlorophyll,Leaf Guard*,Regenerator
115,Kangaskhan,Normal,NULL,105,95,80,40,80,90,490,Early Bird,Scrappy*,Inner Focus
116,Horsea,Water,NULL,30,40,70,70,25,60,295,Swift Swim,Sniper*,Damp
117,Seadra,Water,NULL,55,65,95,95,45,85,440,Poison Point,Sniper*,Damp
118,Goldeen,Water,NULL,45,67,60,35,50,63,320,Swift Swim,Water Veil,Lightning Rod
119,Seaking,Water,NULL,80,92,65,65,80,68,450,Swift Swim,Water Veil,Lightning Rod
120,Staryu,Water,NULL,30,45,55,70,55,85,340,Illuminate,Natural Cure,Analytic
121,Starmie,Water,Psychic,60,75,85,100,85,115,520,Illuminate,Natural Cure,Analytic
122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,460,Soundproof,Filter*,Technician
122,Mr. Mime-Galar,Ice,Psychic,50,65,65,90,90,100,460,Vital Spirit,Screen Cleaner,Ice Body
23,Scyther,Bug,Flying,70,110,80,55,80,105,500,Swarm,Technician*,Steadfast
124,Jynx,Ice,Psychic,65,50,35,115,95,95,455,Oblivious,Forewarn*,Dry Skin
125,Electabuzz,Electric,NULL,65,83,57,95,85,105,490,Static,NULL,Vital Spirit
126,Magmar,Fire,NULL,65,95,57,100,85,93,495,Flame Body,NULL,Vital Spirit
127,Pinsir,Bug,NULL,65,125,100,55,70,85,500,Hyper Cutter,Mold Breaker*,Moxie
128,Tauros,Normal,NULL,75,100,95,40,70,110,490,Intimidate,Anger Point*,Sheer Force
129,Magikarp,Water,NULL,20,10,55,15,20,80,200,Swift Swim,NULL,Rattled
130,Gyarados,Water,Flying,95,125,79,60,100,81,540,Intimidate,NULL,Moxie
131,Lapras,Water,Ice,130,85,80,85,95,60,535,Water Absorb,Shell Armor,Hydration
132,Ditto,Normal,NULL,48,48,48,48,48,48,288,Limber,NULL,Imposter
133,Eevee,Normal,NULL,55,55,50,45,65,55,325,Run Away,Adaptability*,Anticipation
134,Vaporeon,Water,NULL,130,65,60,110,95,65,525,Water Absorb,NULL,Hydration
135,Jolteon,Electric,NULL,65,65,60,110,95,130,525,Volt Absorb,NULL,Quick Feet
136,Flareon,Fire,NULL,65,130,60,95,110,65,525,Flash Fire,NULL,Guts
137,Porygon,Normal,NULL,65,60,70,85,75,40,395,Trace,Download*,Analytic
138,Omanyte,Rock,Water,35,40,100,90,55,35,355,Swift Swim,Shell Armor,Weak Armor
139,Omastar,Rock,Water,70,60,125,115,70,55,495,Swift Swim,Shell Armor,Weak Armor
140,Kabuto,Rock,Water,30,80,90,55,45,55,355,Swift Swim,Battle Armor,Weak Armor
141,Kabutops,Rock,Water,60,115,105,65,70,80,495,Swift Swim,Battle Armor,Weak Armor
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,515,Rock Head,Pressure,Unnerve
143,Snorlax,Normal,NULL,160,110,65,65,110,30,540,Immunity,Thick Fat,Gluttony
144,Articuno,Ice,Flying,90,85,100,95,125,85,580,Pressure,NULL,Snow Cloak
144,Articuno-Galar,Psychic,Flying,90,85,85,125,100,95,580,Competitive,NULL,NULL
145,Zapdos,Electric,Flying,90,90,85,125,90,100,580,Pressure,NULL,Static*
145,Zapdos-Galar,Fighting,Flying,90,125,90,85,90,100,580,Defiant,NULL,NULL
146,Moltres,Fire,Flying,90,100,90,125,85,90,580,Pressure,NULL,Flame Body
146,Moltres-Galar,Dark,Flying,90,85,90,100,125,90,580,Berserk,NULL,NULL
147,Dratini,Dragon,NULL,41,64,45,50,50,50,300,Shed Skin,NULL,Marvel Scale
148,Dragonair,Dragon,NULL,61,84,65,70,70,70,420,Shed Skin,NULL,Marvel Scale
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,600,Inner Focus,NULL,Multiscale
150,Mewtwo,Psychic,NULL,106,110,90,154,90,130,680,Pressure,NULL,Unnerve
151,Mew,Psychic,NULL,100,100,100,100,100,100,600,Synchronize,NULL,NULL
152,Chikorita,Grass,NULL,45,49,65,49,65,45,318,Overgrow,NULL,Leaf Guard
153,Bayleef,Grass,NULL,60,62,80,63,80,60,405,Overgrow,NULL,Leaf Guard
154,Meganium,Grass,NULL,80,82,100,83,100,80,525,Overgrow,NULL,Leaf Guard
155,Cyndaquil,Fire,NULL,39,52,43,60,50,65,309,Blaze,NULL,Flash Fire
156,Quilava,Fire,NULL,58,64,58,80,65,80,405,Blaze,NULL,Flash Fire
157,Typhlosion,Fire,NULL,78,84,78,109,85,100,534,Blaze,NULL,Flash Fire
158,Totodile,Water,NULL,50,65,64,44,48,43,314,Torrent,NULL,Sheer Force
159,Croconaw,Water,NULL,65,80,80,59,63,58,405,Torrent,NULL,Sheer Force
160,Feraligatr,Water,NULL,85,105,100,79,83,78,530,Torrent,NULL,Sheer Force
161,Sentret,Normal,NULL,35,46,34,35,45,20,215,Run Away,Keen Eye,Frisk
162,Furret,Normal,NULL,85,76,64,45,55,90,415,Run Away,Keen Eye,Frisk
163,Hoothoot,Normal,Flying,60,30,30,36,56,50,262,Insomnia,Keen Eye,Tinted Lens
164,Noctowl,Normal,Flying,100,50,50,86,96,70,452,Insomnia,Keen Eye,Tinted Lens
165,Ledyba,Bug,Flying,40,20,30,40,80,55,265,Swarm,Early Bird,Rattled
166,Ledian,Bug,Flying,55,35,50,55,110,85,390,Swarm,Early Bird,Iron Fist
167,Spinarak,Bug,Poison,40,60,40,40,40,30,250,Swarm,Insomnia,Sniper
168,Ariados,Bug,Poison,70,90,70,60,70,40,400,Swarm,Insomnia,Sniper
169,Crobat,Poison,Flying,85,90,80,70,80,130,535,Inner Focus,NULL,Infiltrator
170,Chinchou,Water,Electric,75,38,38,56,56,67,330,Volt Absorb,Illuminate,Water Absorb
171,Lanturn,Water,Electric,125,58,58,76,76,67,460,Volt Absorb,Illuminate,Water Absorb
172,Pichu,Electric,NULL,20,40,15,35,35,60,205,Static,NULL,Lightning Rod
173,Cleffa,Fairy,NULL,50,25,28,45,55,15,218,Cute Charm,Magic Guard*,Friend Guard
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15,210,Cute Charm,Competitive*,Friend Guard
175,Togepi,Fairy,NULL,35,20,65,40,65,20,245,Hustle,Serene Grace,Super Luck
176,Togetic,Fairy,Flying,55,40,85,80,105,40,405,Hustle,Serene Grace,Super Luck
177,Natu,Psychic,Flying,40,50,45,70,45,70,320,Synchronize,Early Bird,Magic Bounce
178,Xatu,Psychic,Flying,65,75,70,95,70,95,470,Synchronize,Early Bird,Magic Bounce
179,Mareep,Electric,NULL,55,40,40,65,45,35,280,Static,NULL,Plus
180,Flaaffy,Electric,NULL,70,55,55,80,60,45,365,Static,NULL,Plus
181,Ampharos,Electric,NULL,90,75,85,115,90,55,510,Static,NULL,Plus
182,Bellossom,Grass,NULL,75,80,95,90,100,50,490,Chlorophyll,NULL,Healer
183,Marill,Water,Fairy,70,20,50,20,50,40,250,Thick Fat,Huge Power,Sap Sipper
184,Azumarill,Water,Fairy,100,50,80,60,80,50,420,Thick Fat,Huge Power,Sap Sipper
185,Sudowoodo,Rock,NULL,70,100,115,30,65,30,410,Sturdy,Rock Head,Rattled
186,Politoed,Water,NULL,90,75,75,90,100,70,500,Water Absorb,Damp,Drizzle
187,Hoppip,Grass,Flying,35,35,40,35,55,50,250,Chlorophyll,Leaf Guard*,Infiltrator
188,Skiploom,Grass,Flying,55,45,50,45,65,80,340,Chlorophyll,Leaf Guard*,Infiltrator
189,Jumpluff,Grass,Flying,75,55,70,55,95,110,460,Chlorophyll,Leaf Guard*,Infiltrator
190,Aipom,Normal,NULL,55,70,55,40,55,85,360,Run Away,Pickup,Skill Link
191,Sunkern,Grass,NULL,30,30,30,30,30,30,180,Chlorophyll,Solar Power*,Early Bird
192,Sunflora,Grass,NULL,75,75,55,105,85,30,425,Chlorophyll,Solar Power*,Early Bird
193,Yanma,Bug,Flying,65,65,45,75,45,95,390,Speed Boost,Compound Eyes,Frisk
194,Wooper,Water,Ground,55,45,45,25,25,15,210,Damp,Water Absorb,Unaware
195,Quagsire,Water,Ground,95,85,85,65,65,35,430,Damp,Water Absorb,Unaware
196,Espeon,Psychic,NULL,65,65,60,130,95,110,525,Synchronize,NULL,Magic Bounce
197,Umbreon,Dark,NULL,95,65,110,60,130,65,525,Synchronize,NULL,Inner Focus
198,Murkrow,Dark,Flying,60,85,42,85,42,91,405,Insomnia,Super Luck*,Prankster
199,Slowking,Water,Psychic,95,75,80,100,110,30,490,Oblivious,Own Tempo,Regenerator
199,Slowking-Galar,Poison,Psychic,95,65,80,110,110,30,490,Curious Medicine,Own Tempo,Regenerator
200,Misdreavus,Ghost,NULL,60,60,60,85,85,85,435,Levitate,NULL,NULL
201,Unown,Psychic,NULL,48,72,48,72,48,48,336,Levitate,NULL,NULL
202,Wobbuffet,Psychic,NULL,190,33,58,33,58,33,405,Shadow Tag,NULL,Telepathy
203,Girafarig,Normal,Psychic,70,80,65,90,65,85,455,Inner Focus,Early Bird,Sap Sipper
204,Pineco,Bug,NULL,50,65,90,35,35,15,290,Sturdy,NULL,Overcoat
205,Forretress,Bug,Steel,75,90,140,60,60,40,465,Sturdy,NULL,Overcoat
206,Dunsparce,Normal,NULL,100,70,70,65,65,45,415,Serene Grace,Run Away,Rattled
207,Gligar,Ground,Flying,65,75,105,35,65,85,430,Hyper Cutter,Sand Veil,Immunity
208,Steelix,Steel,Ground,75,85,200,55,65,30,510,Rock Head,Sturdy,Sheer Force
209,Snubbull,Fairy,NULL,60,80,50,40,40,30,300,Intimidate,Run Away,Rattled
210,Granbull,Fairy,NULL,90,120,75,60,60,45,450,Intimidate,Quick Feet*,Rattled
211,Qwilfish,Water,Poison,65,95,85,55,55,85,440,Poison Point,Swift Swim,Intimidate
212,Scizor,Bug,Steel,70,130,100,55,80,65,500,Swarm,Technician*,Light Metal
213,Shuckle,Bug,Rock,20,10,230,10,230,5,505,Sturdy,Gluttony*,Contrary
214,Heracross,Bug,Fighting,80,125,75,40,95,85,500,Swarm,Guts,Moxie
215,Sneasel,Dark,Ice,55,95,55,35,75,115,430,Inner Focus,Keen Eye,Pickpocket
216,Teddiursa,Normal,NULL,60,80,50,50,50,40,330,Pickup,Quick Feet*,Honey Gather
217,Ursaring,Normal,NULL,90,130,75,75,75,55,500,Guts,Quick Feet*,Unnerve
218,Slugma,Fire,NULL,40,40,40,70,40,20,250,Magma Armor,Flame Body,Weak Armor
219,Magcargo,Fire,Rock,60,50,120,90,80,30,430,Magma Armor,Flame Body,Weak Armor
220,Swinub,Ice,Ground,50,50,40,30,30,50,250,Oblivious,Snow Cloak*,Thick Fat
221,Piloswine,Ice,Ground,100,100,80,60,60,50,450,Oblivious,Snow Cloak*,Thick Fat
222,Corsola,Water,Rock,65,55,95,65,95,35,410,Hustle,Natural Cure,Regenerator
222,Corsola-Galar,Ghost,NULL,60,55,100,65,100,30,410,Weak Armor,NULL,Cursed Body
223,Remoraid,Water,NULL,35,65,35,65,35,65,300,Hustle,Sniper*,Moody
224,Octillery,Water,NULL,75,105,75,105,75,45,480,Suction Cups,Sniper*,Moody
225,Delibird,Ice,Flying,45,55,45,65,45,75,330,Vital Spirit,Hustle,Insomnia
226,Mantine,Water,Flying,85,40,70,80,140,70,485,Swift Swim,Water Absorb,Water Veil
227,Skarmory,Steel,Flying,65,80,140,40,70,70,465,Keen Eye,Sturdy,Weak Armor
228,Houndour,Dark,Fire,45,60,30,80,50,65,330,Early Bird,Flash Fire,Unnerve
229,Houndoom,Dark,Fire,75,90,50,110,80,95,500,Early Bird,Flash Fire,Unnerve
230,Kingdra,Water,Dragon,75,95,95,95,95,85,540,Swift Swim,Sniper*,Damp
231,Phanpy,Ground,NULL,90,60,60,40,40,40,330,Pickup,NULL,Sand Veil
232,Donphan,Ground,NULL,90,120,120,60,60,50,500,Sturdy,NULL,Sand Veil
233,Porygon2,Normal,NULL,85,80,90,105,95,60,515,Trace,Download*,Analytic
234,Stantler,Normal,NULL,73,95,62,85,65,85,465,Intimidate,Frisk*,Sap Sipper
235,Smeargle,Normal,NULL,55,20,35,20,45,75,250,Own Tempo,Technician*,Moody
236,Tyrogue,Fighting,NULL,35,35,35,35,35,35,210,Guts,Steadfast*,Vital Spirit
237,Hitmontop,Fighting,NULL,50,95,95,35,110,70,455,Intimidate,Technician*,Steadfast
238,Smoochum,Ice,Psychic,45,30,15,85,65,65,305,Oblivious,Forewarn*,Hydration
239,Elekid,Electric,NULL,45,63,37,65,55,95,360,Static,NULL,Vital Spirit
240,Magby,Fire,NULL,45,75,37,70,55,83,365,Flame Body,NULL,Vital Spirit
241,Miltank,Normal,NULL,95,80,105,40,70,100,490,Thick Fat,Scrappy*,Sap Sipper
242,Blissey,Normal,NULL,255,10,10,75,135,55,540,Natural Cure,Serene Grace,Healer
243,Raikou,Electric,NULL,90,85,75,115,100,115,580,Pressure,NULL,Inner Focus
244,Entei,Fire,NULL,115,115,85,90,75,100,580,Pressure,NULL,Inner Focus
245,Suicune,Water,NULL,100,75,115,90,115,85,580,Pressure,NULL,Inner Focus
246,Larvitar,Rock,Ground,50,64,50,45,50,41,300,Guts,NULL,Sand Veil
247,Pupitar,Rock,Ground,70,84,70,65,70,51,410,Shed Skin,NULL,NULL
248,Tyranitar,Rock,Dark,100,134,110,95,100,61,600,Sand Stream,NULL,Unnerve
249,Lugia,Psychic,Flying,106,90,130,90,154,110,680,Pressure,NULL,Multiscale
250,Ho-Oh,Fire,Flying,106,130,90,110,154,90,680,Pressure,NULL,Regenerator
251,Celebi,Psychic,Grass,100,100,100,100,100,100,600,Natural Cure,NULL,NULL
252,Treecko,Grass,NULL,40,45,35,65,55,70,310,Overgrow,NULL,Unburden
253,Grovyle,Grass,NULL,50,65,45,85,65,95,405,Overgrow,NULL,Unburden
254,Sceptile,Grass,NULL,70,85,65,105,85,120,530,Overgrow,NULL,Unburden
255,Torchic,Fire,NULL,45,60,40,70,50,45,310,Blaze,NULL,Speed Boost
256,Combusken,Fire,Fighting,60,85,60,85,60,55,405,Blaze,NULL,Speed Boost
257,Blaziken,Fire,Fighting,80,120,70,110,70,80,530,Blaze,NULL,Speed Boost
258,Mudkip,Water,NULL,50,70,50,50,50,40,310,Torrent,NULL,Damp
259,Marshtomp,Water,Ground,70,85,70,60,70,50,405,Torrent,NULL,Damp
